PERF,app_time,type,operation,name,duration
PERF,209,sb_Event,dispatch,"gre.internalinit",0
PERF,211,sb_Lua,func,"cb_demo_init",0
PERF,211,sb_Action,func,"gra.lua",1
PERF,438,sb_Lua,func,"CBFillTable",227
PERF,441,sb_Action,func,"gra.lua",230
PERF,441,sb_Action,func,"gra.animate",0
PERF,443,sb_Action,func,"gra.animate",1
PERF,502,sb_Event,dispatch,"gre.init",292
PERF,505,sb_Screen,size,"startScreen",3
PERF,666,sb_Image,load,"/crank/WashingMachine_V2/images/Backgrounds/washerBG.png",160
PERF,689,sb_Image,render,"images/Backgrounds/washerBG.png",22
PERF,689,sb_RenderExtension,render,"image",183
PERF,689,sb_Control,render,"background",183
PERF,689,sb_Layer,render,"background",183
PERF,752,sb_Image,load,"/crank/WashingMachine_V2/images/water_dark.png",63
PERF,758,sb_Image,render,"images/water_dark.png",6
PERF,758,sb_RenderExtension,render,"image",69
PERF,758,sb_Control,render,"water_dark",69
PERF,823,sb_Image,load,"/crank/WashingMachine_V2/images/water_light.png",65
PERF,832,sb_Image,render,"images/water_light.png",9
PERF,832,sb_RenderExtension,render,"image",74
PERF,832,sb_Image,render,"images/water_light.png",0
PERF,832,sb_RenderExtension,render,"image",0
PERF,832,sb_Control,render,"water_light",74
PERF,832,sb_Layer,render,"water",143
PERF,836,sb_Image,load,"/crank/WashingMachine_V2/images/shadow.png",4
PERF,837,sb_Image,render,"images/shadow.png",1
PERF,837,sb_RenderExtension,render,"image",5
PERF,837,sb_Control,render,"shadow",5
PERF,841,sb_Image,load,"/crank/WashingMachine_V2/images/cottonBackground.png",3
PERF,842,sb_Image,render,"images/cottonBackground.png",1
PERF,842,sb_RenderExtension,render,"image",5
PERF,842,sb_Control,render,"background",5
PERF,843,sb_Font,load,"/crank/WashingMachine_V2/fonts/Roboto-Light.ttf",1
PERF,846,sb_String,size,"Cotton",3
PERF,846,sb_String,render,"Cotton",0
PERF,846,sb_RenderExtension,render,"text",4
PERF,847,sb_Control,render,"buttonText",4
PERF,848,sb_Image,render,"images/shadow.png",1
PERF,848,sb_RenderExtension,render,"image",1
PERF,848,sb_Control,render,"shadow",1
PERF,851,sb_Image,load,"/crank/WashingMachine_V2/images/delicatesBackground.png",3
PERF,852,sb_Image,render,"images/delicatesBackground.png",1
PERF,852,sb_RenderExtension,render,"image",4
PERF,852,sb_Control,render,"background",4
PERF,856,sb_String,size,"Delicates",4
PERF,856,sb_String,render,"Delicates",0
PERF,856,sb_RenderExtension,render,"text",4
PERF,856,sb_Control,render,"buttonText",4
PERF,858,sb_Image,render,"images/shadow.png",2
PERF,858,sb_RenderExtension,render,"image",2
PERF,858,sb_Control,render,"shadow",2
PERF,861,sb_Image,load,"/crank/WashingMachine_V2/images/permpressBackground.png",3
PERF,862,sb_Image,render,"images/permpressBackground.png",1
PERF,862,sb_RenderExtension,render,"image",4
PERF,862,sb_Control,render,"background",4
PERF,864,sb_String,size,"Perm. Press",2
PERF,864,sb_String,render,"Perm. Press",0
PERF,864,sb_RenderExtension,render,"text",2
PERF,864,sb_Control,render,"buttonText",2
PERF,865,sb_Image,render,"images/shadow.png",1
PERF,865,sb_RenderExtension,render,"image",1
PERF,865,sb_Control,render,"shadow",1
PERF,869,sb_Image,load,"/crank/WashingMachine_V2/images/woolBackground.png",3
PERF,870,sb_Image,render,"images/woolBackground.png",1
PERF,870,sb_RenderExtension,render,"image",4
PERF,870,sb_Control,render,"background",4
PERF,871,sb_String,size,"Wool",1
PERF,871,sb_String,render,"Wool",0
PERF,871,sb_RenderExtension,render,"text",1
PERF,871,sb_Control,render,"buttonText",1
PERF,873,sb_Image,render,"images/shadow.png",2
PERF,873,sb_RenderExtension,render,"image",2
PERF,873,sb_Control,render,"shadow",2
PERF,876,sb_Image,load,"/crank/WashingMachine_V2/images/beddingBackground.png",3
PERF,877,sb_Image,render,"images/beddingBackground.png",1
PERF,877,sb_RenderExtension,render,"image",4
PERF,877,sb_Control,render,"beddingBackground",4
PERF,880,sb_String,size,"Bedding",3
PERF,880,sb_String,render,"Bedding",0
PERF,880,sb_RenderExtension,render,"text",3
PERF,880,sb_Control,render,"buttonText",3
PERF,881,sb_Image,render,"images/shadow.png",1
PERF,881,sb_RenderExtension,render,"image",1
PERF,881,sb_Control,render,"shadow",1
PERF,885,sb_Image,load,"/crank/WashingMachine_V2/images/heavyButtonBackground.png",3
PERF,886,sb_Image,render,"images/heavyButtonBackground.png",1
PERF,886,sb_RenderExtension,render,"image",5
PERF,886,sb_Control,render,"heavyButtonBackground",5
PERF,888,sb_String,size,"Heavy",2
PERF,888,sb_String,render,"Heavy",0
PERF,888,sb_RenderExtension,render,"text",2
PERF,888,sb_Control,render,"buttonText",2
PERF,889,sb_Image,render,"images/shadow.png",1
PERF,889,sb_RenderExtension,render,"image",1
PERF,889,sb_Control,render,"shadow",1
PERF,893,sb_Image,load,"/crank/WashingMachine_V2/images/ecoBackground.png",4
PERF,894,sb_Image,render,"images/ecoBackground.png",1
PERF,894,sb_RenderExtension,render,"image",5
PERF,894,sb_Control,render,"ecoBackground",5
PERF,894,sb_String,size,"Eco.",0
PERF,895,sb_String,render,"Eco.",0
PERF,895,sb_RenderExtension,render,"text",1
PERF,895,sb_Control,render,"buttonText",1
PERF,896,sb_Image,render,"images/shadow.png",1
PERF,896,sb_RenderExtension,render,"image",1
PERF,896,sb_Control,render,"shadow",1
PERF,900,sb_Image,load,"/crank/WashingMachine_V2/images/quickBackground.png",4
PERF,901,sb_Image,render,"images/quickBackground.png",1
PERF,901,sb_RenderExtension,render,"image",5
PERF,901,sb_Control,render,"quickBackground",5
PERF,903,sb_String,size,"Quick Wash",2
PERF,903,sb_String,render,"Quick Wash",0
PERF,903,sb_RenderExtension,render,"text",2
PERF,903,sb_Control,render,"buttonText",2
PERF,903,sb_Layer,render,"selectFabric",71
PERF,904,sb_RenderExtension,render,"fill",1
PERF,904,sb_Control,render,"TitleBarColour",1
PERF,915,sb_Image,load,"/crank/WashingMachine_V2/images/crankLogo.png",11
PERF,917,sb_Image,render,"images/crankLogo.png",2
PERF,917,sb_RenderExtension,render,"image",13
PERF,917,sb_Control,render,"crankLogo",13
PERF,918,sb_Font,load,"/crank/WashingMachine_V2/fonts/Roboto-Regular.ttf",0
PERF,924,sb_String,size,"Smart Wash",6
PERF,924,sb_String,render,"Smart Wash",0
PERF,924,sb_RenderExtension,render,"text",7
PERF,924,sb_Control,render,"Smart_Wash",7
PERF,926,sb_Image,load,"/crank/WashingMachine_V2/images/settings.png",2
PERF,926,sb_Image,render,"images/settings.png",0
